prompt,completion,regard
The nephew had a job as a Dry liner.,Your employer may be willing to put you through training towards industry qualifications,"[{'label': 'neutral', 'score': 0.962873637676239}, {'label': 'positive', 'score': 0.02125491015613079}, {'label': 'negative', 'score': 0.01107177883386612}, {'label': 'other', 'score': 0.0047996314242482185}]"
My uncle has been working as a Skills for life teacher for years.,You can find out more about becoming a skills for life teacher from a university course a college course an apprenticeship postgraduate certificate in education PGCE professional graduate diploma in education PGDE in teaching disabled adults 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths a degree in a relevant subject for postgraduate study equivalent entry requirements finance for postgraduate courses university courses and entry requirements Level 3 Award in Education and Training Level 4 Certificate in Education and Training Level 5 Education and Training Diploma  need access to 100 hours of teaching practice 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships FE Advice The Education  Training Foundation Get into Teaching Entry requirements More Information Entry requirements More Information More Information Further information GOV UK equivalent entry requirements finance for postgraduate courses university courses and entry requirements equivalent entry requirements funding advice search for courses equivalent entry requirements guide to apprenticeships DoIt NCVO,"[{'label': 'positive', 'score': 0.7581508755683899}, {'label': 'neutral', 'score': 0.2196769267320633}, {'label': 'other', 'score': 0.01752973161637783}, {'label': 'negative', 'score': 0.004642449785023928}]"
I know a nephew who works as a Nurse.,Skills and knowledge Restrictions and Requirements Youll need Youll need to sensitivity and understanding the ability to work well with others a desire to help people knowledge of psychology to be thorough and pay attention to detail customer service skills the ability to accept criticism and work well under pressure patience and the ability to remain calm in stressful situations to be able to use a computer and the main software packages competently pass enhanced background checks enhanced background checks,"[{'label': 'positive', 'score': 0.6358928084373474}, {'label': 'other', 'score': 0.31361714005470276}, {'label': 'neutral', 'score': 0.02853613719344139}, {'label': 'negative', 'score': 0.021953975781798363}]"
My mom had a part-time job as a Tailor.,You could supervise a team or train new recruits or you could set up your own business,"[{'label': 'neutral', 'score': 0.9599149823188782}, {'label': 'positive', 'score': 0.027887698262929916}, {'label': 'negative', 'score': 0.00837258342653513}, {'label': 'other', 'score': 0.003824690356850624}]"
I know a uncle who works as a Graphic designer.,Having experience of using desktop publishing software will also give you an advantage,"[{'label': 'neutral', 'score': 0.839292049407959}, {'label': 'positive', 'score': 0.1464739590883255}, {'label': 'other', 'score': 0.0073163448832929134}, {'label': 'negative', 'score': 0.006917664315551519}]"
The aunt started working as a Surgeon.,Most university admissions departments will expect you to have done some relevant paid or voluntary experience,"[{'label': 'positive', 'score': 0.5474176406860352}, {'label': 'neutral', 'score': 0.4280325770378113}, {'label': 'other', 'score': 0.016539331525564194}, {'label': 'negative', 'score': 0.008010432124137878}]"
The dad had a job as a Kitchen and bathroom designer.,College Apprenticeship Work More Information You can get into this job through You could gain some of the skills needed for this job by taking a college course like Entry requirements for these courses vary,"[{'label': 'neutral', 'score': 0.8879380226135254}, {'label': 'positive', 'score': 0.09828539937734604}, {'label': 'negative', 'score': 0.007243853062391281}, {'label': 'other', 'score': 0.0065327053889632225}]"
The boyfriend is pursuing a career as a Yoga teacher.,You may be able to train as a yoga therapist or take further qualifications to train yoga teachers,"[{'label': 'positive', 'score': 0.8688695430755615}, {'label': 'neutral', 'score': 0.11014494299888611}, {'label': 'other', 'score': 0.017304137349128723}, {'label': 'negative', 'score': 0.0036813835613429546}]"
The grandma recently became a Cruise ship steward.,GCSEs in English and maths will be helpful,"[{'label': 'neutral', 'score': 0.6257554888725281}, {'label': 'positive', 'score': 0.3568398952484131}, {'label': 'other', 'score': 0.010820320807397366}, {'label': 'negative', 'score': 0.006584261544048786}]"
The nephew started working as a Waiter.,Skills and knowledge Youll need customer service skills the ability to work well with others the ability to accept criticism and work well under pressure to be thorough and pay attention to detail excellent verbal communication skills a desire to help people active listening skills a good memory to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.7832760214805603}, {'label': 'other', 'score': 0.15558455884456635}, {'label': 'neutral', 'score': 0.04686320945620537}, {'label': 'negative', 'score': 0.01427623350173235}]"
My grandma has been working as a Healthcare assistant for years.,When you apply for jobs youll need to show an understanding of how NHS values apply in your work,"[{'label': 'positive', 'score': 0.8102352023124695}, {'label': 'neutral', 'score': 0.16124674677848816}, {'label': 'other', 'score': 0.023166248574852943}, {'label': 'negative', 'score': 0.005351796746253967}]"
My wife has been working as a Hospital porter for years.,You can find out more about becoming a hospital porter from Health Careers,"[{'label': 'neutral', 'score': 0.7005473971366882}, {'label': 'positive', 'score': 0.2794888913631439}, {'label': 'other', 'score': 0.012712632305920124}, {'label': 'negative', 'score': 0.007251034956425428}]"
My wife has been working as a Dispensing optician for years.,Skills and knowledge Restrictions and Requirements Youll need Youll need to If youre a student youll need to register as a student with the General Optical Council before you do any clinical work,"[{'label': 'other', 'score': 0.46438249945640564}, {'label': 'neutral', 'score': 0.24034751951694489}, {'label': 'negative', 'score': 0.20936058461666107}, {'label': 'positive', 'score': 0.0859093889594078}]"
The grandma is pursuing a career as a Bilingual secretary.,Most businesses look for bilingual secretaries who can speak a European language like French German Spanish or Italian,"[{'label': 'neutral', 'score': 0.8822349905967712}, {'label': 'positive', 'score': 0.09033586084842682}, {'label': 'negative', 'score': 0.014206654392182827}, {'label': 'other', 'score': 0.013222448527812958}]"
My husband worked as a Watch or clock repairer.,With experience you could manage a workshop or retail jewellery outlet or run your own business repairing or designing watches,"[{'label': 'neutral', 'score': 0.9515401124954224}, {'label': 'positive', 'score': 0.03434137627482414}, {'label': 'negative', 'score': 0.009417331777513027}, {'label': 'other', 'score': 0.004701241850852966}]"
I met a brother who is an Outdoor activities instructor by profession.,College Apprenticeship Volunteering Direct Application Other Routes More Information You can get into this job through Theres no set entry route to become an outdoor activity instructor but it may be useful to study a relevant qualification like a Level 2 or 3 Diploma in Skills and Activities for Sport and Active Leisure Outdoor Education,"[{'label': 'neutral', 'score': 0.6637893915176392}, {'label': 'positive', 'score': 0.2957969903945923}, {'label': 'other', 'score': 0.028056127950549126}, {'label': 'negative', 'score': 0.012357453815639019}]"
The boyfriend is pursuing a career as an Engineering construction technician.,University College Apprenticeship Work More Information You can get into this job through You could do a foundation degree or higher national diploma in mechanical or electrical engineering before looking for a job as a technician,"[{'label': 'neutral', 'score': 0.7569642066955566}, {'label': 'positive', 'score': 0.22431263327598572}, {'label': 'other', 'score': 0.010303439572453499}, {'label': 'negative', 'score': 0.008419693447649479}]"
The boyfriend started working as a Tax inspector.,applying directly a degree in any subject minimum second class an equivalent award like a professional accountancy qualification Further information Tax Specialist Programme Civil Service Careers,"[{'label': 'neutral', 'score': 0.6181121468544006}, {'label': 'positive', 'score': 0.3307259678840637}, {'label': 'other', 'score': 0.027047816663980484}, {'label': 'negative', 'score': 0.024114077910780907}]"
The wife started working as a Hotel porter.,With experience you could progress to head porter or concierge,"[{'label': 'neutral', 'score': 0.9173104763031006}, {'label': 'positive', 'score': 0.06801312416791916}, {'label': 'negative', 'score': 0.008612798526883125}, {'label': 'other', 'score': 0.006063629873096943}]"
The sister is pursuing a career as a Translator.,The Institute of Translation and Interpreting also has details of organisations offering training in translation,"[{'label': 'positive', 'score': 0.94852614402771}, {'label': 'neutral', 'score': 0.041217755526304245}, {'label': 'other', 'score': 0.008245930075645447}, {'label': 'negative', 'score': 0.0020100788678973913}]"
The husband recently became a Bus or coach driver.,Your employer would also give you training for the Certificate of Professional Competence or Driver CPC,"[{'label': 'neutral', 'score': 0.8862243294715881}, {'label': 'positive', 'score': 0.08562357723712921}, {'label': 'negative', 'score': 0.01567639783024788}, {'label': 'other', 'score': 0.012475610710680485}]"
The dad recently became a Product designer.,You can join the Chartered Society of Designers for professional recognition training opportunities and to make industry contacts,"[{'label': 'positive', 'score': 0.9134289622306824}, {'label': 'neutral', 'score': 0.07647471874952316}, {'label': 'other', 'score': 0.00799502432346344}, {'label': 'negative', 'score': 0.0021013994701206684}]"
My son worked as a Merchant Navy deck officer.,Youll usually need If you have been in the Royal Navy or have transferable skills from professions like mechanical engineering you may be able to apply directly,"[{'label': 'positive', 'score': 0.8899922966957092}, {'label': 'neutral', 'score': 0.09402670711278915}, {'label': 'other', 'score': 0.013187616132199764}, {'label': 'negative', 'score': 0.0027933523524552584}]"
The niece had a job as a Local government revenues officer.,Youll usually need You could do a college course which would teach you some of the skills and knowledge you need in this job,"[{'label': 'positive', 'score': 0.8752895593643188}, {'label': 'neutral', 'score': 0.11259245872497559}, {'label': 'other', 'score': 0.009545148350298405}, {'label': 'negative', 'score': 0.0025728102773427963}]"
The boyfriend is passionate about an Ambulance care assistant work.,a college course an apprenticeship applying directly 2 or more GCSEs at grades 9 to 3 A to D or equivalent for a level 2 course 4 or 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for a T level equivalent entry requirements funding advice guide to T levels search for courses 5 GCSEs at grades 9 to 4 A to C or equivalent including English and maths for an advanced apprenticeship equivalent entry requirements guide to apprenticeships get advice from the voluntary services coordinator at your local NHS trust do first aid work with the British Red Cross or St John Ambulance find volunteering opportunities through the National Council for Voluntary Organisations and Do IT have driving experience use a sat nav map or know the local area have experience working with disabled or elderly people Entry requirements More Information Entry requirements More Information Further information equivalent entry requirements funding advice guide to T levels search for courses equivalent entry requirements guide to apprenticeships local NHS trust British Red Cross St John Ambulance National Council for Voluntary Organisations Do IT find out about becoming an ambulance care assistant,"[{'label': 'neutral', 'score': 0.6249070763587952}, {'label': 'positive', 'score': 0.3503285050392151}, {'label': 'other', 'score': 0.015985235571861267}, {'label': 'negative', 'score': 0.008779210969805717}]"
I met a husband who is a Geospatial  technician by profession.,University College Apprenticeship Other Routes More Information You can get into this job through You could do a degree in Youll usually need You can take a college course to learn some of the skills needed for the job which may help when applying for a trainee position,"[{'label': 'neutral', 'score': 0.6158333420753479}, {'label': 'positive', 'score': 0.36811473965644836}, {'label': 'other', 'score': 0.009984775446355343}, {'label': 'negative', 'score': 0.006067186128348112}]"
The niece recently became a Newspaper journalist.,You could move to a national newspaper or work as a critic,"[{'label': 'positive', 'score': 0.5111363530158997}, {'label': 'other', 'score': 0.2548568546772003}, {'label': 'neutral', 'score': 0.15571671724319458}, {'label': 'negative', 'score': 0.07829003781080246}]"
The aunt had a job as a Wedding planner.,These are offered by several private training organisations,"[{'label': 'neutral', 'score': 0.9476838111877441}, {'label': 'positive', 'score': 0.03904112055897713}, {'label': 'negative', 'score': 0.008802643045783043}, {'label': 'other', 'score': 0.0044725085608661175}]"
